"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_disc"
"1",4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5,"Baja"
"2",4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4,"Baja"
"3",9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,"Media"
"4",9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,"Media"
"5",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,"Baja"
"6",5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5,"Baja"
"7",8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,"Baja"
"8",8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,"Baja"
"9",7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,6,"Media"
"10",8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4,"Baja"
"11",6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4,"Baja"
"12",5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5,"Baja"
"13",6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,6,"Media"
"14",7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6,"Media"
"15",7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6,"Media"
"16",7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4,"Baja"
"17",6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,"Baja"
"18",5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,"Baja"
"19",5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,"Baja"
"20",5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4,"Baja"
"21",10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,"Baja"
"22",7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4,"Baja"
"23",5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7,"Alta"
"24",7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6,"Media"
"25",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,"Alta"
"26",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,"Alta"
"27",7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5,"Baja"
"28",9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6,"Media"
"29",9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6,"Media"
"30",7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5,"Baja"
"31",8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5,"Baja"
"32",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,"Media"
